indexcase_date,state,stayathomeorder,stayathomepercent,stayathome_date,schoolclosure,schoolclosure_date,barrestaurantorder,barrestaurant_date,nonessentialbusiness,nonessentialbusiness_date,largegatheringban,largegatheringdate,stateofemergency,stateofemergencydate
1/21/2020,WA,Statewide,100,3/23/2020,Yes,03/16/2020,Yes,3/16/2020,Yes,3/23/2020,All,3/11/2020,Yes,2/29/2020
1/22/2020,CA,Statewide,100,3/19/2020,Yes,3/19/2020,Yes,3/16/2020,Yes,3/19/2020,All,3/11/2020,Yes,3/4/2020
2/1/2020,MA,Statewide,100,3/24/2020,Yes,3/17/2020,Yes,3/17/2020,Yes,3/23/2020,>10,3/15/2020,Yes,3/10/2020
1/24/2020,IL,Stateside,100,3/21/2020,Yes,3/17/2020,Yes,3/16/2020,Yes,3/20/2020,All,3/12/2020,Yes,3/9/2020
2/5/2020,WI,Statewide,100,3/25/2020,Yes,3/18/2020,Yes,3/17/2020,Yes,3/24/2020,All,3/16/2020,Yes,3/12/2020
3/1/2020,NY,Statewide,100,3/22/2020,Yes,3/18/2020,Yes,3/16/2020,Yes,3/22/2020,All,3/12/2020,Yes,3/7/2020
3/13/2020,AL,Partial,4.296235679,3/24/2020,,,,,,,,,,
3/12/2020,AK,Partial,39.59654913,3/22/2020,,,,,,,,,,
1/26/2020,AZ,NA,NA,NA,,,,,,,,,,
3/11/2020,AR,NA,NA,NA,,,,,,,,,,
3/5/2020,CO,Statewide,100,3/26/2020,,,,,,,,,,
3/8/2020,CT,Statewide,100,3/23/2020,,,,,,,,,,
3/11/2020,DE,Statewide,100,3/24/2020,,,,,,,,,,
3/1/2020,FL,Partial,44.62910798,3/24/2020,,,,,,,,,,
3/2/2020,GA,Partial,,3/20/2020,,,,,,,,,,
3/6/2020,HI,Full,100,3/25/2020,,,,,,,,,,
3/13/2020,ID,Full,100,3/25/2020,,,,,,,,,,
3/6/2020,IN,Full,100,3/24/2020,,,,,,,,,,
3/8/2020,IA,NA,NA,NA,,,,,,,,,,
3/7/2020,KS,Partial,53.02197802,3/24/2020,,,,,,,,,,
3/6/2020,KY,Full,100,3/26/2020,,,,,,,,,,
3/9/2020,LA,Full,100,3/23/2020,,,,,,,,,,
3/12/2020,ME,Partial,4.932735426,3/25/2020,,,,,,,,,,
3/5/2020,MD,NA,NA,NA,,,,,,,,,,
3/10/2020,MI,Full,100,3/24/2020,,,,,,,,,,
3/6/2020,MN,Full,100,3/27/2020,,,,,,,,,,
3/12/2020,MS,Partial,0.8369601607,3/22/2020,,,,,,,,,,
3/6/2020,MO,Partial,,3/23/2020,,,,,,,,,,
3/13/2020,MT,Full,100,3/28/2020,,,,,,,,,,
3/6/2020,NE,NA,NA,NA,,,,,,,,,,
3/5/2020,NV,NA,NA,NA,,,,,,,,,,
1/15/2020,NH,Full,100,3/27/2020,,,,,,,,,,
3/4/2020,NJ,Full,100,3/21/2020,,,,,,,,,,
3/11/2020,NM,Full,100,3/24/2020,,,,,,,,,,
3/3/2020,NC,Full,100,3/30/2020,,,,,,,,,,
3/11/2020,ND,NA,NA,NA,,,,,,,,,,
3/9/2020,OH,Full,100,3/23/2020,,,,,,,,,,
3/7/2020,OK,Partial,,,,,,,,,,,,
2/28/2020,OR,Full,100,3/23/2020,,,,,,,,,,
3/6/2020,PA,Partial,,,,,,,,,,,,
3/1/2020,RI,NA,NA,NA,,,,,,,,,,
3/7/2020,SC,Partial,,,,,,,,,,,,
3/10/2020,SD,NA,NA,NA,,,,,,,,,,
3/5/2020,TN,Partial,,,,,,,,,,,,
3/4/2020,TX,Partial,,,,,,,,,,,,
3/6/2020,UT,NA,NA,NA,,,,,,,,,,
3/7/2020,VT,Full,100,3/25/2020,,,,,,,,,,
3/7/2020,VA,NA,NA,NA,,,,,,,,,,
3/17/2020,WV,Full,100,3/24/2020,,,,,,,,,,
3/11/2020,WY,NA,NA,NA,,,,,,,,,,